id	url	html_path	headers_path	html_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
cli/features	https://developers.openai.com/codex/cli/features	knowledge/primary/CODX/pages/cli/features/index.html	knowledge/primary/CODX/pages/cli/features/response-headers.txt	b83d42739777ccb44815850c5dfa8ec0e30b8a141adfce7d82e2004d9aebd929	ecdc93337e52cb48a08d08d5eb308c34efc52248a4971528104e65513526a0bf	2026-06-08T13:20:45Z	200	Mon, 08 Jun 2026 12:35:17 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cli/reference	https://developers.openai.com/codex/cli/reference	knowledge/primary/CODX/pages/cli/reference/index.html	knowledge/primary/CODX/pages/cli/reference/response-headers.txt	fe4de934ff43a0437b97c3d24e03363343ae38bb21824718a7c1a289b2775ce6	cb82e1894b29e8284f8d5186e6a249bc69b521de62bdea87770fdffb158e9459	2026-06-08T13:20:47Z	200	Mon, 08 Jun 2026 12:30:19 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cli/slash-commands	https://developers.openai.com/codex/cli/slash-commands	knowledge/primary/CODX/pages/cli/slash-commands/index.html	knowledge/primary/CODX/pages/cli/slash-commands/response-headers.txt	7b0c0ed2074e1c06a93f45be54bdfc28d92c6900edd5b000b6cf317eb1f964e1	a4bbed8e10568f7153967bb03e2743b2ac01e3ca90feda173c3bde737caef263	2026-06-08T13:20:49Z	200	Mon, 08 Jun 2026 12:30:50 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cloud	https://developers.openai.com/codex/cloud	knowledge/primary/CODX/pages/cloud/index.html	knowledge/primary/CODX/pages/cloud/response-headers.txt	e66d5180774dcfe03721d3e63574eca4de9fe070d4e13e0391166ed09c9b02b9	55667a3232130f71896876af503001fb98a34402c5bd797610c9e35c4a783070	2026-06-08T13:20:51Z	200	Mon, 08 Jun 2026 12:29:33 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cloud/environments	https://developers.openai.com/codex/cloud/environments	knowledge/primary/CODX/pages/cloud/environments/index.html	knowledge/primary/CODX/pages/cloud/environments/response-headers.txt	5d84f2eff24bf7162b74ffdf923fb9420fce7837126a778c74666eddb02e350e	943186f1f13ced67799d62f7a18daa4691352f84ee040111f03b3ba865596577	2026-06-08T13:20:52Z	200	Mon, 08 Jun 2026 12:37:40 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
cloud/internet-access	https://developers.openai.com/codex/cloud/internet-access	knowledge/primary/CODX/pages/cloud/internet-access/index.html	knowledge/primary/CODX/pages/cloud/internet-access/response-headers.txt	c0146cea047b859e9862eb0e2c4bb2da8e61a9358c34324b8e844867aa85612f	36195a8285b70f8510bb8524c9ad97c793854659b66245c9426ea5eb0788eb3e	2026-06-08T13:20:54Z	200	Mon, 08 Jun 2026 12:41:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
concepts/customization	https://developers.openai.com/codex/concepts/customization	knowledge/primary/CODX/pages/concepts/customization/index.html	knowledge/primary/CODX/pages/concepts/customization/response-headers.txt	46a5a18485038e3661a07ef6118fe75d9b8962cc567317fc5ac6b320da06e2e0	405da4baf8ff76100e255d5c6fd58d01ceaf200c10159215525cf3f74e77ddf6	2026-06-08T13:20:56Z	200	Mon, 08 Jun 2026 12:57:09 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
concepts/sandboxing	https://developers.openai.com/codex/concepts/sandboxing	knowledge/primary/CODX/pages/concepts/sandboxing/index.html	knowledge/primary/CODX/pages/concepts/sandboxing/response-headers.txt	669e5bbe00cfc3763d367577b7bb1ed3e08b1517774fc22e9f68967178186700	ea5310e98243f2c0c5a101ad80ec7ae6f90caf86352190ca0bbfe7490d9dd07a	2026-06-08T13:20:57Z	200	Mon, 08 Jun 2026 12:33:55 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
concepts/subagents	https://developers.openai.com/codex/concepts/subagents	knowledge/primary/CODX/pages/concepts/subagents/index.html	knowledge/primary/CODX/pages/concepts/subagents/response-headers.txt	437032820ba694aa0d3ed751a330b31d20fa930102101c96fd55de005d777390	ae2a1352847d55ed4203534fa6173129a9357477092ea629fc27d6effc726914	2026-06-08T13:20:59Z	200	Mon, 08 Jun 2026 12:37:56 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
config-advanced	https://developers.openai.com/codex/config-advanced	knowledge/primary/CODX/pages/config-advanced/index.html	knowledge/primary/CODX/pages/config-advanced/response-headers.txt	7bb97295a6b561a62dced9fb200371b0b833f1c17ec2d3adec5db115bb480489	0911b61620ccdc4442287f311224731fd834686bd63315e033fa2893750260b4	2026-06-08T13:21:01Z	200	Mon, 08 Jun 2026 12:28:53 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
config-basic	https://developers.openai.com/codex/config-basic	knowledge/primary/CODX/pages/config-basic/index.html	knowledge/primary/CODX/pages/config-basic/response-headers.txt	324dfc7e0815cfc4286d8b28f08110f464bedae85e29190baa5365dde7d89864	7b93476d0e02eeb44735293e3ffb1a9f39ee0c2f163da93921dbf05bf734ba5a	2026-06-08T13:21:03Z	200	Mon, 08 Jun 2026 12:28:44 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
